背番号,選手名,打率,試合,打席数,打数,安打,本塁打,打点,盗塁,四球,死球,三振,犠打,併殺打,出塁率,長打率,OPS,RC27,XR27,team,Name,salary
27,元　謙太,0.0,7.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-2.81,-2.57,bs,元　謙太,700
0,渡部　遼人,0.5,5.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5,0.5,1.0,12.04,10.8,bs,渡部　遼人,1600
37,石川　亮,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-2.92,-2.7,bs,石川　亮,1600
25,内藤　鵬,,,,,,,,,,,,,,,,,,,bs,内藤　鵬,600
33,杉澤　龍,,,,,,,,,,,,,,,,,,,bs,杉澤　龍,900
34,横山　聖哉,,,,,,,,,,,,,,,,,,,bs,横山　聖哉,700
39,池田　陵真,,,,,,,,,,,,,,,,,,,bs,池田　陵真,800
41,佐野　皓大,,,,,,,,,,,,,,,,,,,bs,佐野　皓大,1700
61,茶野　篤政,,,,,,,,,,,,,,,,,,,bs,茶野　篤政,1600
62,堀　柊那,,,,,,,,,,,,,,,,,,,bs,堀　柊那,500
21,清宮　幸太郎,0.244,44.0,183.0,164.0,40.0,3.0,16.0,1.0,19.0,0.0,27.0,0.0,4.0,0.322,0.341,0.664,3.75,3.73,f,清宮　幸太郎,8000
66,万波　中正,0.242,45.0,182.0,165.0,40.0,9.0,25.0,0.0,16.0,1.0,45.0,0.0,2.0,0.313,0.497,0.81,5.33,5.21,f,万波　中正,16500
99,レイエス,0.271,41.0,173.0,155.0,42.0,9.0,25.0,0.0,18.0,0.0,38.0,0.0,4.0,0.347,0.49,0.837,5.87,5.79,f,レイエス,30000
5,野村　佑希,0.291,36.0,151.0,134.0,39.0,6.0,17.0,1.0,15.0,2.0,22.0,0.0,3.0,0.371,0.5,0.871,6.72,6.46,f,野村　佑希,4300
43,水野　達稀,0.233,39.0,131.0,116.0,27.0,3.0,19.0,2.0,9.0,4.0,26.0,1.0,2.0,0.308,0.397,0.704,4.29,4.37,f,水野　達稀,3000
30,郡司　裕也,0.235,29.0,102.0,85.0,20.0,3.0,11.0,0.0,13.0,3.0,16.0,0.0,3.0,0.353,0.365,0.718,4.48,4.69,f,郡司　裕也,5500
7,松本　剛,0.171,28.0,94.0,82.0,14.0,0.0,2.0,1.0,10.0,2.0,15.0,0.0,2.0,0.277,0.195,0.472,1.34,1.53,f,松本　剛,11000
60,吉田　賢吾,0.222,32.0,85.0,81.0,18.0,4.0,9.0,0.0,4.0,0.0,11.0,0.0,4.0,0.259,0.444,0.703,3.29,3.34,f,吉田　賢吾,850
38,石井　一成,0.306,25.0,78.0,72.0,22.0,1.0,8.0,1.0,4.0,0.0,18.0,1.0,0.0,0.338,0.417,0.754,5.53,5.33,f,石井　一成,4000
64,田宮　裕涼,0.225,22.0,77.0,71.0,16.0,1.0,2.0,1.0,6.0,0.0,12.0,0.0,1.0,0.286,0.296,0.581,2.49,2.58,f,田宮　裕涼,3000
23,伏見　寅威,0.217,26.0,65.0,60.0,13.0,1.0,5.0,0.0,1.0,2.0,12.0,2.0,2.0,0.254,0.267,0.521,1.72,1.84,f,伏見　寅威,10000
8,淺間　大基,0.208,23.0,57.0,48.0,10.0,1.0,3.0,2.0,9.0,0.0,8.0,0.0,1.0,0.333,0.292,0.625,3.84,3.97,f,淺間　大基,2800
